Geography,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Prince Edward Island,Prince Edward Island,Prince Edward Island,Nova Scotia,Nova Scotia,Nova Scotia,New Brunswick,New Brunswick,New Brunswick,Quebec,Quebec,Quebec,Ontario,Ontario,Ontario,Manitoba,Manitoba,Manitoba,Saskatchewan,Saskatchewan,Saskatchewan,Alberta,Alberta,Alberta,British Columbia,British Columbia,British Columbia,Yukon Territory,Yukon Territory,Yukon Territory,Northwest Territories,Northwest Territories,Northwest Territories,Nunavut,Nunavut,Nunavut
Gender (3) 5 6,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women
73201 General building maintenance workers and building superintendents,"2,195","2,035",155,670,605,65,"3,235","2,980",255,"2,465","2,275",190,"24,295","22,405","1,885","44,310","39,560","4,745","4,305","4,060",250,"4,455","4,090",365,"13,160","12,050","1,115","14,135","13,045","1,090",250,245,10,305,295,10,305,290,15
73202 Pest controllers and fumigators,55,55,0,30,30,0,95,90,0,90,85,0,"1,000",905,95,"1,890","1,740",150,190,150,40,195,145,50,370,315,55,625,550,75,0,0,0,15,15,0,0,0,0
73209 Other repairers and servicers,150,145,0,45,45,0,315,300,15,270,250,20,"2,935","2,760",180,"3,525","3,300",230,375,355,20,275,255,25,"2,010","1,895",115,"2,015","1,860",155,30,30,0,10,0,10,0,0,0
733 Transportation occupations,"5,790","5,305",485,"2,175","2,045",130,"11,090","10,195",900,"12,730","11,680","1,050","135,280","121,790","13,485","177,935","158,220","19,720","23,215","21,655","1,560","18,330","16,290","2,035","69,840","61,985","7,855","61,260","57,120","4,135",485,405,80,650,575,80,530,470,60
7330 Transport truck and transit drivers,"5,775","5,295",485,"2,175","2,045",130,"11,015","10,130",885,"12,555","11,505","1,045","133,740","120,330","13,410","174,865","155,355","19,515","22,135","20,615","1,525","16,975","14,985","1,990","67,730","60,015","7,715","58,635","54,670","3,965",475,405,80,655,570,80,530,470,60
73300 Transport truck drivers,"4,555","4,365",190,"1,805","1,785",15,"8,425","8,195",220,"10,655","10,315",345,"107,875","101,640","6,235","134,600","129,235","5,360","18,370","17,715",655,"13,530","12,940",595,"54,550","52,045","2,505","48,060","46,140","1,925",375,335,40,570,520,50,495,445,50
"73301 Bus drivers, subway operators and other transit operators","1,220",925,300,370,260,110,"2,600","1,935",660,"1,890","1,190",700,"25,865","18,685","7,180","40,265","26,115","14,150","3,770","2,900",865,"3,450","2,050","1,400","13,180","7,970","5,215","10,575","8,535","2,045",100,65,35,85,55,30,30,20,10
7331 Train crew operating occupations,15,15,0,0,0,0,75,60,15,180,175,0,"1,540","1,465",75,"3,075","2,865",205,"1,080","1,045",40,"1,350","1,305",50,"2,110","1,970",135,"2,620","2,450",170,0,0,0,0,0,0,0,0,0
73310 Railway and yard locomotive engineers,0,0,0,0,0,0,45,30,15,100,100,0,845,810,40,"1,605","1,495",110,520,495,20,605,575,30,985,915,75,"1,405","1,315",90,0,0,0,0,0,0,0,0,0
73311 Railway conductors and brakemen/women,10,10,0,0,0,0,35,30,0,75,75,0,695,655,40,"1,465","1,370",95,565,545,20,750,725,20,"1,120","1,065",65,"1,220","1,140",80,0,0,0,0,0,0,0,0,0
"734 Operators, drillers and blasters","4,235","4,095",135,540,520,20,"3,670","3,555",120,"3,250","3,200",50,"27,080","25,980","1,105","32,435","30,615","1,815","4,705","4,450",255,"6,005","5,690",315,"21,605","19,605","2,005","16,980","16,025",955,420,375,45,405,385,25,260,245,15
"7340 Operators, drillers and blasters","4,235","4,095",135,540,520,20,"3,670","3,555",120,"3,250","3,200",50,"27,080","25,980","1,105","32,435","30,615","1,815","4,705","4,450",255,"6,005","5,690",315,"21,605","19,605","2,005","16,980","16,025",955,420,375,45,405,385,25,260,245,15
73400 Heavy equipment operators,"4,025","3,900",125,505,500,0,"3,245","3,160",80,"3,005","2,970",35,"21,570","21,135",440,"23,820","23,125",705,"3,705","3,515",190,"5,620","5,330",290,"20,205","18,345","1,860","14,805","14,060",745,410,365,45,360,345,20,255,240,15
73401 Printing press operators,25,15,10,15,0,15,370,335,35,180,165,20,"4,440","3,780",650,"7,220","6,115","1,105",720,655,70,180,155,25,805,660,140,"1,390","1,190",205,10,10,0,25,15,0,0,0,0
"73402 Drillers and blasters - surface mining, quarrying and construction",190,180,10,20,20,0,60,60,0,65,65,0,"1,075","1,060",15,"1,385","1,380",0,280,280,0,205,205,0,600,600,0,775,775,0,0,0,0,20,20,0,10,10,0
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","3,210","2,620",590,640,475,165,"4,950","3,765","1,180","3,905","3,035",870,"27,870","21,475","6,395","63,310","48,865","14,440","6,040","4,920","1,120","4,905","3,720","1,180","20,935","15,890","5,045","22,870","17,270","5,600",210,175,35,200,160,35,220,200,15
741 Mail and message distribution occupations,"1,340",805,530,415,250,160,"2,880","1,845","1,030","2,180","1,435",745,"16,710","11,120","5,590","42,990","29,900","13,085","3,720","2,725",990,"2,785","1,745","1,035","11,345","7,060","4,280","13,960","9,030","4,930",95,60,35,40,15,30,20,10,10
7410 Mail and message distribution occupations,"1,340",805,530,415,250,160,"2,880","1,845","1,030","2,180","1,435",745,"16,710","11,120","5,590","42,990","29,900","13,085","3,720","2,725",990,"2,785","1,745","1,035","11,345","7,060","4,280","13,960","9,030","4,930",95,60,35,40,15,30,20,10,10
74100 Mail and parcel sorters and related occupations,345,100,240,110,40,70,610,200,410,470,235,230,"4,605","3,040","1,565","11,690","6,440","5,255","1,025",590,435,620,245,380,"2,605","1,230","1,375","3,280","1,540","1,740",30,25,10,10,0,10,15,10,10
74101 Letter carriers,435,215,215,170,100,70,"1,055",600,450,915,520,395,"7,795","4,405","3,395","13,510","8,465","5,045","1,020",660,360,990,550,440,"4,000","1,965","2,035","4,925","2,660","2,265",45,20,20,20,0,10,10,10,0
74102 Couriers and messengers,565,490,80,135,115,20,"1,220","1,050",170,795,675,120,"4,310","3,680",635,"17,790","14,995","2,790","1,670","1,475",195,"1,175",960,220,"4,740","3,870",870,"5,755","4,830",925,20,15,10,15,10,0,0,0,0
"742 Transport equipment operators, utility maintenance and related workers","1,870","1,805",55,225,225,0,"2,070","1,920",150,"1,730","1,600",125,"11,160","10,355",805,"20,315","18,965","1,355","2,320","2,200",125,"2,120","1,975",145,"9,590","8,825",765,"8,910","8,240",670,115,115,0,160,145,10,200,190,10
"7420 Transport equipment operators, utility maintenance and related maintenance workers","1,870","1,805",55,225,225,0,"2,070","1,920",150,"1,730","1,600",125,"11,160","10,355",805,"20,315","18,965","1,355","2,320","2,200",125,"2,120","1,975",145,"9,590","8,825",765,"8,910","8,240",670,115,115,0,160,145,10,200,190,10
74200 Railway yard and track maintenance workers,45,35,0,0,0,0,60,60,0,110,105,0,970,920,45,"2,055","1,990",65,515,495,20,370,360,10,850,820,30,"1,000",960,40,0,0,0,0,0,0,0,0,0
74201 Water transport deck and engine room crew,810,790,20,60,60,0,620,560,60,150,145,10,"1,105",960,145,555,465,90,55,55,0,30,20,10,115,95,25,"1,410","1,225",185,10,10,0,10,10,0,0,0,0
74202 Air transport ramp attendants,335,315,25,25,25,0,285,270,20,120,110,10,"1,525","1,345",175,"3,890","3,415",480,385,355,35,185,150,40,"1,535","1,365",165,"1,800","1,550",245,15,15,0,80,70,10,105,95,10
74203 Automotive and heavy truck and equipment parts installers and servicers,220,220,0,40,40,0,380,365,20,780,690,95,"2,170","2,070",95,"5,185","4,935",245,575,550,20,870,840,30,"3,550","3,320",235,"2,260","2,210",55,75,75,0,20,20,0,0,0,0
74204 Utility maintenance workers,175,170,0,20,20,0,130,95,30,65,60,0,285,255,35,"2,670","2,460",210,360,345,15,365,325,40,"1,625","1,450",175,635,570,65,10,10,0,10,10,0,0,0,0
74205 Public works maintenance equipment operators and related workers,285,275,10,85,85,0,595,570,25,500,500,0,"5,115","4,800",310,"5,960","5,695",265,425,390,30,295,280,15,"1,910","1,775",135,"1,795","1,715",80,10,10,0,40,35,0,90,85,0
"75 Helpers and labourers and other transport drivers, operators and labourers","11,145","9,790","1,350","3,260","2,825",440,"17,465","15,845","1,620","14,635","13,405","1,235","143,055","128,780","14,275","299,115","259,735","39,380","26,475","23,820","2,650","20,530","18,410","2,120","92,315","79,160","13,160","109,180","92,680","16,500",745,655,90,915,840,75,775,740,35
751 Helpers and labourers,"7,960","7,080",875,"2,345","2,030",320,"12,505","11,380","1,115","11,020","10,150",865,"97,110","86,515","10,595","205,100","176,960","28,135","17,695","16,165","1,530","14,320","13,125","1,190","65,665","56,600","9,065","75,585","63,860","11,725",500,455,50,570,545,25,435,415,15
7510 Longshore workers and material handlers,"2,510","2,270",240,685,615,75,"5,035","4,455",580,"4,145","3,795",350,"55,610","48,145","7,470","106,250","83,635","22,615","7,145","6,315",825,"5,350","4,870",480,"28,760","23,230","5,535","36,505","29,530","6,970",110,100,15,155,150,10,65,60,0
75100 Longshore workers,275,250,30,20,20,0,475,405,65,150,145,0,"1,500","1,370",135,295,280,15,15,15,0,30,30,0,15,15,0,"3,505","3,005",500,0,0,0,0,0,10,0,0,0
75101 Material handlers,"2,230","2,020",210,660,595,70,"4,560","4,050",515,"3,995","3,645",350,"54,110","46,775","7,335","105,950","83,350","22,600","7,130","6,300",825,"5,325","4,840",480,"28,745","23,210","5,535","32,995","26,525","6,475",110,100,15,150,150,0,65,60,0
7511 Trades helpers and labourers,"5,455","4,810",635,"1,655","1,410",245,"7,465","6,930",540,"6,870","6,360",515,"41,500","38,375","3,125","98,850","93,325","5,520","10,555","9,850",705,"8,970","8,255",715,"36,900","33,370","3,535","39,080","34,325","4,755",390,355,35,420,395,20,365,355,10
75110 Construction trades helpers and labourers,"5,140","4,525",620,"1,575","1,335",240,"7,130","6,635",500,"6,430","5,950",475,"38,920","36,010","2,910","93,560","88,450","5,110","9,815","9,165",650,"8,475","7,820",655,"34,520","31,210","3,315","37,460","32,845","4,625",375,345,30,370,350,20,335,320,10
75119 Other trades helpers and labourers,310,295,20,85,80,0,340,300,40,445,405,35,"2,580","2,365",210,"5,285","4,870",410,740,685,55,495,435,60,"2,375","2,160",215,"1,620","1,490",135,10,0,0,45,45,0,35,35,0
"752 Transport drivers, operators and labourers","3,185","2,710",480,915,795,120,"4,965","4,465",505,"3,625","3,255",365,"45,945","42,260","3,680","94,020","82,780","11,240","8,780","7,655","1,120","6,210","5,280",930,"26,650","22,560","4,090","33,595","28,820","4,770",240,200,40,340,290,45,340,330,15
"7520 Taxi, personal service and delivery service drivers","1,645","1,460",180,620,570,50,"3,990","3,590",405,"2,325","2,095",230,"31,415","29,130","2,290","83,200","73,400","9,800","6,840","5,940",900,"4,385","3,650",735,"21,885","18,565","3,315","27,450","23,690","3,760",150,120,25,195,155,30,85,80,10
75200 Taxi and limousine drivers and chauffeurs,540,470,70,190,180,10,"1,430","1,305",120,705,660,45,"13,615","12,950",660,"32,735","30,365","2,370","1,965","1,805",160,"1,420","1,210",215,"7,555","6,960",595,"8,005","7,570",430,50,40,15,120,105,10,50,45,10
75201 Delivery service drivers and door-to-door distributors,"1,105",990,110,425,390,40,"2,560","2,275",285,"1,620","1,435",185,"17,800","16,180","1,620","50,460","43,035","7,430","4,875","4,135",740,"2,965","2,440",520,"14,330","11,605","2,720","19,445","16,115","3,330",100,85,15,75,45,20,35,30,0
7521 Water and rail transport operators and labourers and related occupations,"1,550","1,250",295,300,230,70,975,875,100,"1,295","1,160",135,"14,525","13,130","1,395","10,820","9,380","1,445","1,935","1,720",220,"1,820","1,630",190,"4,765","3,990",775,"6,150","5,135","1,015",95,80,15,150,135,15,260,250,10
75210 Boat and cable ferry operators and related occupations,380,335,35,50,35,15,180,165,10,130,110,15,245,225,25,550,435,115,50,50,0,15,15,0,55,35,20,"1,485","1,140",345,10,10,0,15,10,0,0,0,0
75211 Railway and motor transport labourers,55,50,0,10,0,10,45,35,10,125,105,15,"2,070","1,675",395,"1,255","1,055",200,295,270,25,205,170,30,850,750,100,735,610,125,10,10,0,10,10,0,25,25,0
75212 Public works and maintenance labourers,"1,115",860,255,240,185,50,750,670,80,"1,045",940,105,"12,215","11,235",980,"9,015","7,890","1,125","1,590","1,400",195,"1,600","1,445",160,"3,865","3,210",655,"3,925","3,385",545,80,70,10,130,115,15,230,225,10
"8 Natural resources, agriculture and related production occupations","13,660","10,905","2,750","7,685","6,040","1,645","20,710","17,075","3,640","16,735","13,740","2,990","99,600","79,010","20,590","168,470","126,660","41,815","33,805","26,205","7,600","60,220","46,425","13,795","111,490","86,110","25,375","83,150","59,185","23,965",860,640,230,685,590,95,340,320,25
80 Middle management occupations in production and agriculture,880,740,140,"1,535","1,255",280,"3,060","2,310",750,"2,335","1,875",460,"31,685","23,625","8,060","47,085","33,560","13,525","15,025","11,600","3,430","32,790","24,680","8,110","40,545","29,435","11,105","17,865","11,470","6,400",215,125,90,70,50,20,10,0,0
800 Middle management occupations in production and agriculture,880,740,140,"1,535","1,255",280,"3,060","2,310",750,"2,335","1,875",460,"31,685","23,625","8,060","47,085","33,560","13,525","15,025","11,600","3,430","32,790","24,680","8,110","40,545","29,435","11,105","17,865","11,470","6,400",215,125,90,70,50,20,10,0,0
8001 Managers in natural resources production and fishing,420,360,60,30,25,10,275,260,15,190,180,10,"1,075",980,90,"1,795","1,590",205,225,195,30,675,615,60,"3,880","3,485",400,"1,990","1,745",245,60,40,15,60,40,15,10,0,0
80010 Managers in natural resources production and fishing,420,360,60,30,25,10,275,260,15,190,180,10,"1,075",980,90,"1,795","1,590",205,225,195,30,675,615,60,"3,880","3,485",400,"1,990","1,745",245,60,40,15,60,40,15,10,0,0
"8002 Managers in agriculture, horticulture and aquaculture",460,380,80,"1,505","1,235",275,"2,785","2,050",730,"2,145","1,695",455,"30,610","22,640","7,975","45,290","31,970","13,320","14,800","11,405","3,400","32,120","24,070","8,050","36,660","25,950","10,710","15,880","9,725","6,150",155,90,65,10,0,0,0,0,0
80020 Managers in agriculture,370,325,50,"1,365","1,125",240,"2,530","1,835",695,"1,895","1,495",400,"30,265","22,470","7,795","43,635","30,910","12,725","14,595","11,295","3,300","31,945","23,980","7,965","36,195","25,700","10,495","14,395","8,785","5,610",140,80,60,10,0,0,0,0,0
80021 Managers in horticulture,35,20,20,40,25,15,195,155,35,115,75,40,290,115,170,"1,605","1,025",580,205,100,105,165,75,85,445,235,215,"1,020",555,460,15,10,0,0,0,0,0,0,0
80022 Managers in aquaculture,55,35,15,100,80,20,65,60,10,135,125,15,65,55,10,55,40,15,0,0,0,10,10,0,20,20,0,465,385,85,0,0,0,0,0,0,0,0,0
"82 Supervisors in natural resources, agriculture and related production","1,005",955,50,240,190,55,"1,120",965,155,940,870,75,"5,520","4,880",635,"15,480","13,865","1,620","1,720","1,610",110,"3,200","2,960",245,"14,715","13,455","1,260","8,660","7,350","1,315",65,45,25,80,65,15,10,10,0
"820 Supervisors in natural resources, agriculture and related production","1,005",955,50,240,190,55,"1,120",965,155,940,870,75,"5,520","4,880",635,"15,480","13,865","1,620","1,720","1,610",110,"3,200","2,960",245,"14,715","13,455","1,260","8,660","7,350","1,315",65,45,25,80,65,15,10,10,0
"8201 Supervisors, logging and forestry",85,85,0,20,20,0,200,180,20,360,340,25,"1,125","1,065",55,"1,210","1,175",35,145,140,10,300,280,20,"1,480","1,405",75,"1,795","1,660",135,20,15,0,10,10,0,0,0,0
"82010 Supervisors, logging and forestry",85,85,0,20,20,0,200,180,20,360,340,25,"1,125","1,065",55,"1,210","1,175",35,145,140,10,300,280,20,"1,480","1,405",75,"1,795","1,660",135,20,15,0,10,10,0,0,0,0
"8202 Contractors and supervisors, mining, oil and gas",770,725,50,45,35,0,305,300,0,195,190,0,"1,530","1,460",70,"3,195","3,060",140,510,495,20,"1,960","1,890",70,"9,670","9,135",535,"2,135","2,035",105,20,10,15,55,50,0,0,0,0
"82020 Supervisors, mining and quarrying",435,410,30,0,0,0,155,155,0,135,135,0,"1,500","1,430",70,"2,940","2,825",120,345,330,10,635,605,30,905,835,75,"1,240","1,185",55,15,0,15,50,40,0,0,0,0
"82021 Contractors and supervisors, oil and gas drilling and services",330,315,20,35,30,0,150,140,0,65,60,0,30,30,0,255,235,20,165,160,0,"1,325","1,285",40,"8,765","8,300",465,895,850,45,0,0,0,10,10,0,0,0,0
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services",155,145,0,180,130,45,610,485,130,380,335,45,"2,865","2,355",510,"11,070","9,630","1,440","1,060",975,85,945,790,160,"3,565","2,915",650,"4,730","3,650","1,080",30,25,10,25,10,10,10,10,0
82030 Agricultural service contractors and farm supervisors,15,10,0,50,25,20,30,20,10,45,35,10,455,335,120,"1,015",700,315,190,165,25,320,275,40,425,365,60,530,315,215,0,0,0,0,0,0,0,0,0
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",140,140,0,125,105,25,580,465,115,340,300,35,"2,410","2,020",390,"10,055","8,930","1,125",870,810,60,625,510,115,"3,140","2,545",590,"4,195","3,340",855,25,25,0,20,10,15,10,10,0
83 Occupations in natural resources and related production,"5,150","4,045","1,100","1,445","1,145",305,"4,235","3,860",370,"3,105","2,840",265,"7,200","6,865",335,"7,635","7,060",570,"1,380","1,255",120,"2,765","2,685",85,"5,460","5,085",375,"5,670","5,340",335,85,80,0,125,120,0,100,100,0
831 Occupations in natural resources and fisheries,"5,150","4,045","1,100","1,445","1,145",305,"4,235","3,860",370,"3,105","2,840",265,"7,200","6,865",335,"7,635","7,060",570,"1,380","1,255",120,"2,765","2,685",85,"5,460","5,085",375,"5,670","5,340",335,85,80,0,125,120,0,100,100,0
"8310 Underground miners, oil and gas drillers and related occupations",830,770,60,0,0,0,255,240,20,415,395,25,"3,940","3,730",210,"6,630","6,105",525,965,910,55,"2,495","2,415",80,"4,685","4,345",335,"2,155","2,010",145,75,70,0,100,105,0,35,35,0
83100 Underground production and development miners,565,500,60,0,0,0,160,160,0,325,320,0,"3,625","3,515",110,"5,620","5,430",185,710,685,25,"1,585","1,540",45,455,405,50,"1,360","1,280",80,70,65,0,100,105,0,35,35,0
"83101 Oil and gas well drillers, servicers, testers and related workers",270,270,0,0,0,0,95,80,20,90,70,20,320,215,100,"1,010",670,340,260,230,30,905,875,35,"4,225","3,940",280,795,730,65,10,10,0,0,0,0,0,0,0
8311 Logging machinery operators,95,95,0,30,30,0,220,220,0,650,640,10,"2,235","2,200",35,795,760,40,130,125,0,225,225,0,745,710,30,"2,415","2,390",25,10,10,0,10,10,0,0,0,0
83110 Logging machinery operators,95,95,0,30,30,0,220,220,0,650,640,10,"2,235","2,200",35,795,760,40,130,125,0,225,225,0,745,710,30,"2,415","2,390",25,10,10,0,10,10,0,0,0,0
8312 Fishing vessel masters and fishermen/women,"4,225","3,185","1,040","1,415","1,110",305,"3,760","3,405",355,"2,040","1,810",235,"1,025",935,95,210,200,10,280,220,60,50,45,0,30,30,0,"1,105",945,160,0,0,0,0,10,0,70,70,0
83120 Fishing masters and officers,240,235,0,50,50,0,450,435,15,115,115,0,95,90,0,40,40,0,0,0,0,0,0,0,0,0,0,165,160,0,0,0,0,0,0,0,0,0,0
83121 Fishermen/women,"3,985","2,945","1,040","1,360","1,060",305,"3,310","2,970",345,"1,925","1,690",235,935,840,90,170,165,10,280,220,60,50,45,0,25,20,0,935,780,155,0,0,0,0,10,0,70,70,0
"84 Workers in natural resources, agriculture and related production","3,215","2,410",805,"2,115","1,640",470,"5,340","4,580",760,"4,105","3,530",570,"19,205","15,455","3,750","16,330","12,400","3,930","5,345","4,280","1,065","9,890","7,930","1,960","14,370","11,480","2,890","10,585","8,125","2,455",145,125,25,155,140,15,60,45,10
841 Workers in natural resources and fisheries,"3,215","2,410",805,"2,115","1,640",470,"5,340","4,580",760,"4,105","3,530",570,"19,205","15,455","3,750","16,330","12,400","3,930","5,345","4,280","1,065","9,890","7,930","1,960","14,370","11,480","2,890","10,585","8,125","2,455",145,125,25,155,140,15,60,45,10
8410 Mine service workers and operators in oil and gas drilling,385,325,60,20,15,0,125,105,20,120,105,10,"1,680","1,575",105,"1,685","1,600",85,260,245,15,905,880,20,"4,475","4,315",160,935,860,75,20,20,0,25,25,0,35,30,0
84100 Underground mine service and support workers,295,230,55,0,0,0,35,30,0,60,60,0,"1,575","1,485",90,"1,495","1,410",85,155,145,10,260,250,10,160,160,0,420,380,40,15,15,0,25,20,0,35,30,0
84101 Oil and gas well drilling and related workers and services operators,95,95,0,15,10,0,90,75,10,50,45,10,105,90,15,185,185,0,110,100,0,640,630,0,"4,320","4,160",160,515,485,25,10,0,0,0,0,0,0,0,0
8411 Logging and forestry workers,375,355,20,110,100,10,710,660,50,"1,345","1,315",30,"5,465","5,045",420,"2,605","2,325",280,450,410,40,385,360,20,"1,280","1,080",200,"4,455","4,050",410,75,65,0,115,105,10,10,10,10
84110 Chain saw and skidder operators,220,220,0,60,55,0,355,340,10,655,655,0,"2,450","2,380",70,"1,370","1,310",65,195,190,0,165,165,0,510,465,45,"2,690","2,620",65,30,25,0,20,15,0,0,0,0
84111 Silviculture and forestry workers,150,135,15,55,45,0,355,315,45,690,665,25,"3,015","2,665",350,"1,235","1,020",215,255,220,35,220,200,15,770,615,155,"1,770","1,425",345,45,40,0,95,90,10,0,10,0
8412 Workers in agriculture and fishing occupations,"2,455","1,730",720,"1,985","1,530",455,"4,510","3,820",690,"2,645","2,110",530,"12,060","8,840","3,220","12,045","8,475","3,570","4,640","3,620","1,010","8,605","6,685","1,915","8,615","6,080","2,535","5,190","3,220","1,975",55,35,15,15,10,0,15,15,0
84120 Specialized livestock workers and farm machinery operators,270,190,75,860,695,165,935,720,210,"1,125",860,265,"10,990","7,935","3,055","11,860","8,310","3,550","4,580","3,585","1,000","8,555","6,635","1,915","8,530","6,005","2,525","4,490","2,730","1,760",55,35,15,15,10,0,0,0,0
84121 Fishing vessel deckhands,"2,185","1,540",645,"1,130",835,295,"3,570","3,095",475,"1,515","1,250",265,"1,065",905,165,185,165,20,60,40,15,50,50,0,85,75,10,705,490,215,0,0,0,0,0,0,0,0,0
"85 Harvesting, landscaping and natural resources labourers","3,415","2,755",655,"2,360","1,815",545,"6,960","5,350","1,610","6,240","4,625","1,620","35,990","28,180","7,805","81,940","59,775","22,160","10,335","7,460","2,875","11,565","8,175","3,395","36,405","26,660","9,745","40,370","26,900","13,470",355,260,95,260,215,45,170,155,15
"851 Harvesting, landscaping and natural resources labourers","3,415","2,755",655,"2,360","1,815",545,"6,960","5,350","1,610","6,240","4,625","1,620","35,990","28,180","7,805","81,940","59,775","22,160","10,335","7,460","2,875","11,565","8,175","3,395","36,405","26,660","9,745","40,370","26,900","13,470",355,260,95,260,215,45,170,155,15
"8510 Agriculture, horticulture and harvesting labourers and related occupations","1,005",745,260,"1,360",960,400,"2,505","1,625",875,"2,815","1,745","1,070","12,805","8,205","4,600","23,565","11,635","11,935","3,825","2,015","1,815","4,475","2,390","2,090","9,745","5,070","4,675","13,365","5,955","7,410",65,35,35,25,25,10,75,70,0
85100 Livestock labourers,305,205,100,340,205,135,785,505,285,750,420,335,"6,700","4,325","2,375","10,835","5,545","5,295","2,335","1,410",925,"3,315","1,910","1,405","6,100","3,490","2,615","3,735","1,840","1,895",20,0,15,0,0,0,0,0,0
85101 Harvesting labourers,80,45,35,405,270,135,575,325,250,690,450,240,"3,220","2,265",960,"4,735","2,465","2,270",610,285,315,390,230,165,"1,125",585,540,"4,455","1,765","2,695",15,10,10,0,0,0,0,0,0
85102 Aquaculture and marine harvest labourers,450,420,25,485,405,80,550,490,60,635,505,130,90,80,10,105,55,45,10,10,0,15,10,0,10,0,0,575,435,140,0,0,0,0,0,0,0,0,0
85103 Nursery and greenhouse labourers,165,70,100,125,75,55,575,295,285,735,370,365,"2,520","1,330","1,185","7,780","3,480","4,305",830,275,565,735,225,515,"2,465",955,"1,510","4,540","1,865","2,675",20,15,10,10,0,0,0,0,0
85104 Trappers and hunters,0,0,0,0,0,0,15,20,0,0,0,0,280,205,75,105,90,20,45,35,0,20,20,0,40,40,0,50,45,10,15,15,0,20,20,0,65,60,0
"8511 Mine and oil and gas drilling, services and related labourers",495,440,55,25,25,0,205,165,40,105,105,0,640,575,60,955,850,105,340,300,45,"1,485","1,380",105,"5,630","5,200",425,"1,355","1,200",160,80,65,15,55,35,15,45,40,0
85110 Mine labourers,250,205,45,0,0,0,70,50,20,50,50,0,500,445,55,840,750,90,165,135,30,305,260,50,185,140,50,640,530,105,80,65,15,50,35,15,45,35,0
"85111 Oil and gas drilling, servicing and related labourers",240,230,10,25,25,0,135,115,20,60,60,0,140,135,0,110,100,15,175,160,15,"1,180","1,125",60,"5,440","5,065",380,720,665,50,0,0,0,10,10,0,10,10,0
"8512 Logging, forestry, landscaping and other related labourers","1,915","1,570",340,975,835,145,"4,250","3,560",690,"3,315","2,770",545,"22,550","19,395","3,150","57,415","47,295","10,125","6,165","5,145","1,020","5,600","4,400","1,195","21,035","16,385","4,650","25,655","19,755","5,900",205,160,45,180,155,25,50,45,0
85120 Logging and forestry labourers,110,105,0,20,20,0,210,145,60,400,270,140,"1,185",910,280,"1,755","1,100",660,140,105,35,150,115,35,430,285,145,"1,820","1,235",580,10,0,0,25,20,0,0,0,0
85121 Landscaping and grounds maintenance labourers,"1,805","1,465",335,955,815,140,"4,045","3,410",635,"2,910","2,505",405,"21,360","18,485","2,870","55,660","46,200","9,465","6,030","5,045",985,"5,450","4,290","1,165","20,600","16,100","4,500","23,835","18,515","5,320",200,160,40,150,140,20,50,45,0
9 Occupations in manufacturing and utilities,"11,155","7,680","3,475","4,670","3,045","1,620","21,655","16,050","5,605","21,680","15,775","5,900","227,185","163,635","63,550","405,660","273,785","131,870","36,865","27,030","9,835","20,580","16,955","3,630","90,130","70,930","19,200","96,625","68,625","28,000",450,355,90,460,390,75,245,200,40
90 Middle management occupations in manufacturing and utilities,550,440,105,350,255,95,"1,805","1,390",415,"1,525","1,175",355,"19,645","15,015","4,625","37,880","29,770","8,110","2,960","2,510",445,"1,870","1,525",340,"9,285","7,625","1,655","11,480","8,820","2,660",35,25,10,50,45,10,30,25,0
900 Middle management occupations in manufacturing and utilities,550,440,105,350,255,95,"1,805","1,390",415,"1,525","1,175",355,"19,645","15,015","4,625","37,880","29,770","8,110","2,960","2,510",445,"1,870","1,525",340,"9,285","7,625","1,655","11,480","8,820","2,660",35,25,10,50,45,10,30,25,0
9001 Managers in manufacturing and utilities,550,440,105,350,255,95,"1,805","1,390",415,"1,525","1,175",355,"19,645","15,015","4,625","37,880","29,770","8,110","2,960","2,510",445,"1,870","1,525",340,"9,285","7,625","1,655","11,480","8,820","2,660",35,25,10,50,45,10,30,25,0
90010 Manufacturing managers,435,340,100,320,225,90,"1,490","1,135",355,"1,320","1,010",315,"18,100","13,815","4,285","33,290","26,100","7,185","2,570","2,195",375,"1,420","1,175",240,"6,715","5,515","1,200","9,895","7,595","2,295",15,10,0,15,10,10,10,10,0
90011 Utilities managers,110,105,10,30,25,0,315,250,60,205,160,40,"1,540","1,200",340,"4,595","3,670",925,390,320,70,450,350,100,"2,565","2,105",465,"1,585","1,225",365,20,15,10,35,35,0,15,15,0
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","1,525","1,360",170,530,435,95,"2,715","2,290",420,"2,940","2,515",425,"22,275","18,435","3,835","42,435","34,510","7,925","4,605","4,080",530,"4,915","4,455",460,"18,040","16,205","1,835","13,565","11,795","1,765",140,120,25,155,145,0,95,90,10
